dosage,stage,mode,orientation,rising,peaking,withdrawal,diminishing,bottoming out,restoration
Medicine,Beige,Inhabit,Do,Commitment,Diligence,Steadiness,Security,Planning,Next Habit
Medicine,Purple,Inhabit,Feel,Inspiration,Joy,Introspectivity,Tranquility,Convalescence ,Recuperation
Medicine,Red,Express,Do,Leading,Power-With,Stepping Back,Self-Acceptance,Following,Assembling
Medicine,Blue,Express,Feel,Ambition,Attunement,Discernment,Conviction,Surrender,Catharsis
Medicine,Orange,Collaborate,Do,Hypothesize,Experiment ,Collect Data,Analyze,Synthesize,Question
Medicine,Green,Collaborate,Feel,Connection,Belonging,Retirement ,Unwinding,Repose,Vulnerability
Medicine,Yellow,Integrate,Do,Rebellion,Anarchy,Organize,Establish,Order,Disintegrate
Medicine,Teal,Integrate,Feel,Epiphany,Gnosis,Receptivity,Absorption,Metabolism,Pattern-Seeking
Medicine,Ultraviolet,Absorb,Do/Feel,Unification of Mind,Jhana,Metta and Meditative Joy,Sustained Attention,Pleasure,Directed Attention
Toxic,Beige,Inhabit,Do,Overcommitment,Thriving,Burnout,Grasping,Overwhelm ,New Plan
Toxic,Purple,Inhabit,Feel,Grandiosity ,Ecstasy,Anxiety,Self-Doubt,Self-Loathing,Selfishness
Toxic,Red,Express,Do,Dominating,Power-Over,Crumbling,Shame,Subjugation,Revenge
Toxic,Blue,Express,Feel,Voraciousness,Leprosy,Self-Medication,Rage,Misery,Self-Repression
Toxic,Orange,Collaborate,Do,Assert,Crusade,Overlook Details,Force it,Fail,Presume
Toxic,Green,Collaborate,Feel,Oversharing,Megalomania,Social Anxiety,Alienation,Isolation,Bitterness
Toxic,Yellow,Integrate,Do,Mischief,Chaos,Discord,Confusion,Bureaucracy ,The Aftermath
Toxic,Teal,Integrate,Feel,Delusion,Psychosis,Paranoia,Horror,Despair,Belief Salience
Toxic,Ultraviolet,Absorb,Do/Feel,Worldly Desire,Bliss Addiction,Agitation Due to Worry or Remorse ,Doubt,Aversion,Laziness or Lethargy
